Company,SEDAR_url,mailAddress,contactName,bizEmail,telNum,faxNum,dateForm,jurisdiction,industryClass,cusipNum,finYearEnd,hqAddress,principalRegulator,shortFormProspectusIssuer,reportJurisdiction,stockExchange,stockSym,auditor,generalPartner,transferAgent,assets
,,"Suite 1500, 340 - 12th Avenue S.W.
Calgary, Alberta
T2R 1L5",Glynn G. Davies,,403 269-1995,403 269-1994,Jan 3 1997,Alberta,junior natural resource - mining,067904,Dec 31,"Suite 1500, 340 - 12th Avenue S.W.
Calgary, Alberta
T2R 1L5",,No,Alberta,CDNX - AB,BAO,Collins Barrow,,Montreal Trust Company of Canada,"Under $5,000,000"
,,"8275 S. Eastern Ave. Suite 200
Las Vegas, Nevada
89123",Harpreet Sangha,harpsangha@shaw.ca,702 595-2447,,Jan 27 2014,Nevada,oil and gas - oil and gas producers,428101,Sep 30,"8275 S. Eastern Ave. Suite 200
Las Vegas, Nevada
89123",British Columbia,No,British Columbia,United States - Other,BRLL,MaloneBailey LLP,,"VStock Transfer, LLC","Under $5,000,000"
,,"1400, 350 - 7th Avenue S.W.
Calgary, Alberta
T2P 3N9",Darren Dittmer,DDittmer@cadence-energy.com,403 290-3400,403 290-3447,Dec 22 2004,Alberta,oil and gas - oil and gas producers,12738U,Dec 31,"1400, 350 - 7th Avenue S.W.
Calgary, Alberta
T2P 3N9",Alberta,Yes,Ceased Reporting,N/A,,Deloitte & Touche LLP,,Computershare Trust Company of Canada,"$500,000,001 to $1,000,000,000"
,,"Legal Department
Brookfield Place, TD Canada Trust Tower
Suite 3700, 161 Bay Street, P.O. Box 212
Toronto, Ontario
M5J 2S1","Dana Stringer, Vice-President, Corporate Secretary and Associate General Counsel",dstringer@barrick.com,416 307-7405,416 861-9717,Jul 14 1984,British Columbia,gold and precious metals,067901,Dec 31,"Brookfield Place, TD Canada Trust Tower
Suite 3700, 161 Bay Street, P.O. Box 212
Toronto, Ontario
M5J 2S1",Ontario,Yes,All provinces and territories of Canada,"TSX, NYSE",ABX,PricewaterhouseCoopers LLP,,AST Trust Company (Canada),"Over $1,000,000,000"
,,"Barrick Gold Corporation, Legal Department
Brookfield Place, TD Canada Trust Tower
Suite 3700, 161 Bay Street, P.O. Box 212
Toronto, Ontario
M5J 2S1","Dana Stringer, Secretary",dstringer@barrick.com,416 307-7405,416 861-8243,May 9 2008,Delaware,finance company,,Dec 31,"Legal Department
460 West 50 North, Suite 500
Salt Lake City, Utah
84101",Ontario,No,Ceased Reporting,N/A,,PricewaterhouseCoopers LLP,,,"Under $5,000,000"
,,"Legal Department
Brookfield Place, TD Canada Trust Tower
Suite 3700, 161 Bay Street, P.O. Box 212
Toronto, Ontario
M5J 2S1","Dana Stringer,Secretary",dstringer@barrick.com,416 307-7405,416 861-8243,Jul 20 1998,Nova Scotia,gold and precious metals,,Dec 31,"Summit Place, 1601 Lower Water Street
P.O. Box 730
Halifax, Nova Scotia
B3J 2V1",Ontario,No,Ontario,N/A,,N/A,,N/A,"$100,000,001 to $500,000,000"
,,"Legal Department
Brookfield Place, TD Canada Trust Tower
Suite 3700, 161 Bay Street, P.O. Box 212
Toronto, Ontario
M5J 2S1","Dana Stringer, Secretary",dstringer@barrick.com,416 307-7405,416 861-8243,Mar 20 1997,Delaware,miscellaneous,,Dec 31,"Legal Department
460 West 50 North, Suite 500
Salt Lake City, Utah
84101",Ontario,No,Ontario,N/A,,PricewaterhouseCoopers LLP,,,"Under $5,000,000"
,,"Legal Department
Brookfield Place, TD Canada Trust Tower
Suite 3700, 161 Bay Street, P.O. Box 212
Toronto, Ontario
M5J 2S1","Faith Teo, Secretary",fteo@barrick.com,416 307-7340,416 861-8243,Jan 1 1999,Ontario,gold and precious metals,06849Q,Dec 31,"100 King Street West
1 First Canadian Place
Toronto, Ontario
M5X 1B8",Ontario,No,Ceased Reporting,N/A,,N/A,,Computershare Investor Services Inc.,"$100,000,001 to $500,000,000"
,,"Barrick Gold Corporation, Legal Department
Brookfield Place, TD Canada Trust Tower
Suite 3700, 161 Bay Street, P.O. Box 212
Toronto, Ontario
M5J 2S1","Dana Stringer, Secretary",dstringer@barrick.com,416 307-7405,416 861-9717,May 8 2008,Delaware,finance company,,Dec 31,"Legal Department
460 West 50 North, Suite 500
Salt Lake City, Utah
84101",Ontario,No,Ontario,N/A,,PricewaterhouseCoopers LLP,,,"Under $5,000,000"
,,"Suite 700 - 1285 West Pender Street
Vancouver, British Columbia
V6E 4B1",William J. Caughill,,604 605-8994,604 605-8987,Jun 1 1978,British Columbia,junior natural resource - mining,068902,Mar 31,"Suite 700 - 1285 West Pender Street
Vancouver, British Columbia
V6E 4B1",No filing is or has previously been made under the MRRS Prospectus Policy,No,British Columbia,CDNX - BC,BMI,Davidson & Company,,Pacific Corporate Trust Company,"Under $5,000,000"
