Company,SEDAR_url,mailAddress,contactName,bizEmail,telNum,faxNum,dateForm,jurisdiction,industryClass,cusipNum,finYearEnd,hqAddress,principalRegulator,shortFormProspectusIssuer,reportJurisdiction,stockExchange,stockSym,auditor,generalPartner,transferAgent,assets
,,"11, 7e Avenue Ouest
Macamic, Québec
J0Z 2S0",Diane Racine,diane.racine@desjardins.com,418 835-8444,418 833-7951,May 8 1937,Québec,financial services - banks and trusts,,Dec 31,"11, 7e Avenue Ouest
Macamic, Québec
J0Z 2S0",Quebec,No,Ceased Reporting,N/A,,Fédération des caisses Desjardins du Québec,,,"$25,000,001 to $100,000,000"
,,"489, rue St-Denis, C.P. 149
Saint-Alexandre, Québec
J0J 1S0",Micheline La-Rue,,418 835-2017,418 835-1866,Jul 13 1946,Québec,financial services - banks and trusts,,Aug 31,"489, rue St-Denis, C.P. 149
Saint-Alexandre, Québec
J0J 1S0",No filing is or has previously been made under the MRRS Prospectus Policy,No,Ceased Reporting,N/A,,La Confédération des caisses populaires et d'économie Desjardins du Québec,,,"$5,000,001 to $25,000,000"
,,"663, boulevard Saint-Antoine
Saint-Jérôme, Québec
J7Z 3B8",Services financiers,caisse.t30023@desjardins.com,450 436-5331,450 436-5229,Mar 30 1963,Québec,financial services - banks and trusts,,Dec 31,"663, boulevard Saint-Antoine
Saint-Jérôme, Québec
J7Z 3B8",Quebec,No,Quebec,N/A,,Fédération des caisses Desjardins du Québec,,,"$500,000,001 to $1,000,000,000"
,,"130, rue Guillemette
Saint-Boniface, Québec
G0X 2L0",Services financiers,caisse.t10136@desjardins.com,819 535-3940,819 535-2205,Nov 17 1945,Québec,financial services - banks and trusts,,Dec 31,"130, rue Guillemette
Saint-Boniface, Québec
G0X 2L0",Quebec,No,Quebec,N/A,,Fédération des caisses Desjardins du QuébecConfédération des caisses populaires et d'économie Desjardins du Québec,,,"$100,000,001 to $500,000,000"
,,"2570, route 112
Saint-Césaire, Québec
J0L 1T0",Services financiers,caisse.t90065@desjardins.com,450 469-4913,450 469-3838,Nov 17 1945,Québec,financial services - banks and trusts,,Dec 31,"2570, route 112
Saint-Césaire, Québec
J0L 1T0",Quebec,No,Quebec,N/A,,Fédération des caisses Desjardins du Québec,,,"$100,000,001 to $500,000,000"
,,"111, rue Principale
Saint-Damase, Québec
J0H 1J0",Diane Racine,diane.racine@desjardins.com,418 835-8444,418 833-7951,Nov 11 1937,Québec,financial services - banks and trusts,,Dec 31,"111, rue Principale
Saint-Damase, Québec
J0H 1J0",Quebec,No,Ceased Reporting,N/A,,Fédération des caisses Desjardins du Québec,,,"$100,000,001 to $500,000,000"
,,"784, rue Principale
Saint-Donat, Québec
J0T 2C0",Services financiers,caisse.t00030@desjardins.com,450 834-5446,450 834-2939,Jul 16 1949,Québec,financial services - banks and trusts,,Dec 31,"784, rue Principale
Saint-Donat, Québec
J0T 2C0",Non-Reporting Issuer,No,Quebec,N/A,,Fédération des caisses Desjardins du Québec,,,"$25,000,001 to $100,000,000"
,,"77, rue Principale Est
Sainte-Agathe-des-Monts, Québec
J8C 1J5",Services financiers,caisse.t30190@desjardins.com,819 326-2883,819 326-8500,Nov 4 1943,Québec,financial services - banks and trusts,,Dec 31,"77, rue Principale Est
Sainte-Agathe-des-Monts, Québec
J8C 1J5",Quebec,No,Quebec,N/A,,Fédération des caisses Desjardins du Québec,,,"$100,000,001 to $500,000,000"
,,"477, rue des Érables, C.P. 9
Sainte-Eulalie, Québec
G0Z 1E0",Micheline La-Rue,,418 835-2017,418 835-1866,Feb 18 1935,Québec,financial services - banks and trusts,,Mar 31,"477, rue des Érables, C.P. 9
Sainte-Eulalie, Québec
G0Z 1E0",No filing is or has previously been made under the MRRS Prospectus Policy,No,Ceased Reporting,N/A,,La Confédération des caisses populaires et d'économie Desjardins du Québec,,,"$5,000,001 to $25,000,000"
,,"990, avenue de Bourgogne
Bureau 200
Québec, Québec
G1W 0E8",Services financiers,caisse.t20465@desjardins.com,418 653-0515,418 658-1608,Nov 13 1965,Québec,financial services - banks and trusts,,Dec 31,"990, avenue de Bourgogne
Bureau200
Québec, Québec
G1W 0E8",Quebec,No,Quebec,N/A,,Fédération des caisses Desjardins du Québec,,,"$500,000,001 to $1,000,000,000"
