Company,SEDAR_url,mailAddress,contactName,bizEmail,telNum,faxNum,dateForm,jurisdiction,industryClass,cusipNum,finYearEnd,hqAddress,principalRegulator,shortFormProspectusIssuer,reportJurisdiction,stockExchange,stockSym,auditor,generalPartner,transferAgent,assets
,,"c/o Aston Hill Asset Management Inc. as Manager
220 Bay Street
Suite 1500
Toronto, Ontario
M5J 2W4",Michael J. Killeen,mkilleen@astonhill.ca,416 362-5597,416 861-9749,May 22 2009,Ontario,financial services - investment companies and funds,,Dec 31,"c/o Aston Hill Asset Management Inc. as Manager
220 Bay Street
Suite 1500
Toronto, Ontario
M5J 2W4",Ontario,No,Ceased Reporting,N/A,,Ernst & Young LLP,,Computershare Investor Services Inc.,"Under $5,000,000"
,,"77 King Street West, Suite 2110, P.O. Box 92, Toronto-Dominion Centre
Toronto, Ontario
M5K 1G8",Michael J. Killeen,mkilleen@astonhill.ca,416 583-2307,416 861-9749,Oct 29 2007,Ontario,financial services - investment companies and funds,04623X,Dec 31,"77 King Street West, Suite 2110, P.O. Box 92, Toronto-Dominion Centre
Toronto, Ontario
M5K 1G8",Ontario,No,Ceased Reporting,N/A,,PricewaterhouseCoopers LLP,,Computershare Investor Services Inc.,"$25,000,001 to $100,000,000"
,,"77 King Street West, Suite 2110, P.O. Box 92, Toronto-Dominion Centre
Toronto, Ontario
M5K 1G8",Derek Slemko,dslemko@astonhill.ca,416 583-2309,416 861-9749,Apr 19 2007,Ontario,financial services - investment companies and funds,379462,Dec 31,"77 King Street West, Suite 2110, P.O. Box 92, Toronto-Dominion Centre
Toronto, Ontario
M5K 1G8",Ontario,Yes,All provinces and territories of Canada,TSX,GUR,PricewaterhouseCoopers LLP,,Computershare Investor Services Inc.,"$5,000,001 to $25,000,000"
,,"77 King Street West, Suite 2110, P.O. Box 92, Toronto-Dominion Centre
Toronto, Ontario
M5K 1G8",Derek Slemko,dslemko@astonhill.ca,416 583-2309,416 861-9749,Sep 28 2004,Ontario,financial services - investment companies and funds,112219,Dec 31,"77 King Street West, Suite 2110, P.O. Box 92, Toronto-Dominion Centre
Toronto, Ontario
M5K 1G8",Ontario,Yes,All provinces and territories of Canada,TSX,OGFUN,PricewaterhouseCoopers LLP,,Computershare Trust Company of Canada,"$100,000,001 to $500,000,000"
,,"77 King Street West, Suite 2110, P.O. Box 92, Toronto-Dominion Centre
Toronto, ON
M5K 1G8",Michael J. Killeen,mkilleen@astonhill.ca,416 583-2307,416 861-9749,Dec 9 2010,Ontario,financial services - investment companies and funds,,Dec 31,"77 King Street West, Suite 2110, P.O. Box 92, Toronto-Dominion Centre
Toronto, ON
M5K 1G8",Ontario,No,Ceased Reporting,TSX,,PricewaterhouseCoopers LLP,,Equity Financial Trust Company,"$25,000,001 to $100,000,000"
,,"1090 West Georgia Street, Suite 700
Vancouver, British Columbia
V6E 3V7",Mahesh Liyanage,mahesh@mlltd.ca,778 881-7015,,Aug 24 2020,British Columbia,junior natural resource - mining,,Dec 31,"1090 West Georgia Street, Suite 700
Vancouver, British Columbia
V6E 3V7",Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,Davidson & Company LLP,,,"Under $5,000,000"
,,"P.O. Box HM 1022, Clarendon House
Church Street West
Hamilton, Hamilton
HM DX",Stephen Burleton,,416 359-4790,416 359-4404,Aug 22 1991,British Virgin Islands,finance company,04632L,Dec 31,"Todman Building
Main Street, P.O. Box 3140
Road Town, Tortola
BVI",,No,Ontario,TSX,AFL,"Ernst & Young, Chartered Accountants",,CIBC Mellon Trust Company,"$25,000,001 to $100,000,000"
,,"Legal Department
1800, avenue McGill College, bureau 2700
Montréal, Québec
H3A 3J6",Brigitte K. Catellier,bcatellier@astral.com,514 939-5055,514 939-5080,Jul 26 1971,Canada,communications and media - broadcasting,046346,Aug 31,"Brigitte K. Catellier, VP, Legal Affairs and Secretary
181 Bay Street, Suite 100
Brookfield Place, P.O. Box 787
Toronto, Ontario
M5J 2T3",Ontario,Yes,Ceased Reporting,N/A,,Ernst & Young LLP,,Computershare Investor Services Inc.,"Over $1,000,000,000"
,,"1130 - 1055 W Hastings Street
Vancouver, British Columbia
V6E 2E9",Tag Gill,tag.gill@orkosilver.com,604 687-8566,604 687-6365,Feb 12 2004,British Columbia,junior natural resource - mining,046349,Mar 31,"1130 - 1055 W Hastings Street
Vancouver, British Columbia
V6E 2E9",British Columbia,No,Ceased Reporting,N/A,,"D&H Group, Chartered Accountants",,Valiant Trust Company,"Under $5,000,000"
,,"145 - 157 St. John Street
London, England
EC1V 4PW",Niren Raj,niren.raj@arrowlaw.com.au,,,May 3 2011,England and Wales,industrial products - technology,GO5900,Jun 30,"46 Tynte Street
North Adelaide, South Australia
5006",Ontario,No,Not Applicable,N/A,,GSK Accountancy Limited,,Computershare Limited,"$5,000,001 to $25,000,000"
,,"320 W. Main Street
Lewisville, TX
75057",Bruce Bent,bruce.bent@matthewssouthwest.com,972 221-1199,,Mar 27 2007,Nevada,transportation and environmental services,04636R,Dec 31,"320 W. Main Street
Lewisville, TX
75057",British Columbia,No,British Columbia,OTCBB,ASDN,"Hacker, Johnson & Smith PA",,Island Stock Transfer,"Under $5,000,000"
,,"666 Burrard Street
Suite 2368
Vancouver, BC
V6C 2X8",Ian Mallmann,ianm@astronconnect.com,604 6202092,,Feb 20 2017,British Columbia,other,04640L,Sep 30,"666 Burrard Street
Suite 2368
Vancouver, BC
V6C 2X8",British Columbia,No,"British Columbia, Alberta",TSX Venture,AST,Smythe LLP,,TSX Trust Company,"Under $5,000,000"
,,"Unit 550 - 800 West Pender Street
Vancouver, British Columbia
V6C 2V6",Gino Zandonai,gzandonai@atacamacopper.ca,569 97915596,,Apr 8 2020,British Columbia,other,04590A,Dec 31,"Unit 550 - 800 West Pender Street
Vancouver, British Columbia
V6C 2V6",British Columbia,No,"British Columbia, Alberta",TSX Venture,ACOP,Baker Tilly WM LLP,n/a,TSX Trust Company,"Under $5,000,000"
,,"161 Bay Street, 27th Floor
Toronto, Ontario
M5J 2S1",Carl B. Hansen,info@atacamapacific.com,416 861-8267,,Jun 12 2008,Ontario,junior natural resource - mining,04650Q,Mar 31,"161 Bay Street, 27th Floor
Toronto, Ontario
M5J 2S1",Non-Reporting Issuer,Yes,Ceased Reporting,N/A,,KPMG LLP,,TSX Trust Company,"$25,000,001 to $100,000,000"
,,"10820 68th Place
Kenosha, Wisconsin
53142",Glenn Grant,ggrant@acrlintl.com,780 5123805,,Dec 13 2013,"Plantation, FL",metals and minerals - metal mines,04651H,Dec 31,"10820 68th Place
Kenosha, Wisconsin
53142",Alberta,No,Alberta,Over-the-counter markets,ACRL,Ben Borger,,Jason Bogutski,"Under $5,000,000"
