Company,SEDAR_url,mailAddress,contactName,bizEmail,telNum,faxNum,dateForm,jurisdiction,industryClass,cusipNum,finYearEnd,hqAddress,principalRegulator,shortFormProspectusIssuer,reportJurisdiction,stockExchange,stockSym,auditor,generalPartner,transferAgent,assets
,,"40218 Wellsline Road
Abbotsford, BC
V3G 2K7",Jim Carroll,jim@biomasssecurepower.ca,604 807-4957,604 859-2157,Mar 7 1989,British Columbia,other,92827Y,Jun 30,"40218 Wellsline Road
Abbotsford, BC
V3G 2K7",British Columbia,No,British Columbia,Pink Sheets,BMSPF,Morgan & Company,,Computershare Trust Company of Canada,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,"11491 Kingston Street
Maple Ridge, BC
V2X 0Y6",Brian Lock,,604 465-1040,604 465-3323,Mar 25 1999,BC,industrial products - technology,09061C,Dec 31,"11491 Kingston Street
Maple Ridge, BC
V2X 0Y6",No filing is or has previously been made under the MRRS Prospectus Policy,No,"British Columbia, Alberta",TSX Venture,BIX,Dale Matheson Carr-Hilton,,Pacific Corporate Trust Company,"Under $5,000,000"
,,"Secrétariat
4355 boul. Sir Wilfrid Laurier
St-Hubert, Québec
J3Y 3X3",Claude Lachance,,450 443-6666,450 443-4466,Dec 31 1999,Canada,consumer products - biotechnology/pharmaceuticals,09057V,Dec 31,"Secrétariat
4355 boul. Sir Wilfrid Laurier
St-Hubert, Québec
J3Y 3X3",No filing is or has previously been made under the MRRS Prospectus Policy,No,Quebec,N/A,,Pontbrian Roy Ehtier S.E.N.C.,,National Bank Trust Inc.,"Under $5,000,000"
,,"480 University Avenue
Suite 1401
Toronto, Ontario
M5G 1V2",Khurram Malik,kmalik@biomegrow.com,416 875-8395,416 805-7895,Dec 31 2013,British Columbia,other,09075M,Dec 31,"480 University Avenue
Suite 1401
Toronto, Ontario
M5G 1V2",British Columbia,Yes,"British Columbia, Alberta, Ontario","Frankfurt, Canada - CSE, Over-the-counter markets",BIO,Manning Elliott LLP,,Computershare Investor Services Inc.,"Under $5,000,000"
,,"Pando Science and Technology Park, Camino Saravia s/n
CP 91.000 Pando
Canelones, Canelones",Alejandro Antalich,alejandro.antalich@biomindlabs.com,589 92251500,,Nov 9 2020,continued to Ontario,consumer products - biotechnology/pharmaceuticals,090702,Dec 31,"Pando Science and Technology Park, Camino Saravia s/n
CP 91.000 Pando
Canelones, Canelones",Ontario,Yes,All provinces and territories of Canada,Canada - Neo Exchange,BMND,MNP LLP,,Odyssey Trust Company,"$5,000,001 to $25,000,000"
,,"9608 - 25 Avenue NW
Edmonton, Alberta
T6N 1J4",Dr.Jianhua Zhu,jianhua.zhu@bioneutra.ca,780 466-1481,,Mar 8 1996,Alberta,consumer products - biotechnology/pharmaceuticals,09073L,Dec 31,"9608 - 25 Avenue NW
Edmonton, Alberta
T6N 1J4",Alberta,No,"British Columbia, Alberta, Ontario",TSX Venture,BGA,RSM Alberta LLP,,Computershare Trust Company of Canada,"Under $5,000,000"
,,"383 Sovereign Road
London, Ontario
N6M 1A3",Robert Browne,,519 453-0641,519 453-2418,Feb 1 1992,Canada,consumer products - biotechnology/pharmaceuticals,09063,Jun 30,"383 Sovereign Road
London, Ontario
N6M 1A3",No filing is or has previously been made under the MRRS Prospectus Policy,No,Not Applicable,N/A,,Ernst & Young,,CIBC Mellon Trust Company,"$5,000,001 to $25,000,000"
,,"Rothschild Blvd 22
Tel Aviv, Yafo
6688218",Cohen Mizrahi,healenergy@gmx.com,208 231-1606,253 498-8465,Oct 24 2012,Nevada,industrial products - technology,,Jun 30,"Rothschild Blvd 22
Tel Aviv, Yafo
6688218",Alberta,No,Ceased Reporting,OTCBB,,BF Borgers CPA PC,,,"Under $5,000,000"
,,"Suite P 105
137 Rue St. Pierre
Montreal, Quebec
H2Y 3T5",Alain Lambert,.,514 844-7212,514 844-7481,Feb 7 1996,Canada,junior industrial,,Dec 31,"Suite P 105
137 Rue St. Pierre
Montreal, Quebec
H2Y 3T5",Alberta,No,Alberta,N/A,,Wasserman Stotland Bratt Gross Baum,,Montreal Trust Company of Canada,"Under $5,000,000"
